pname,pos,team,age,gp,w,l,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,+/-
Dejounte Murray,SG,ATL,0.004336580315449876,1.0491324603940702,0.957474412955701,0.8838492305213846,1.9168810830028629,1.9838589797905062,2.351234203813476,2.4727154140746253,-0.035738416476317446,1.250399800700556,1.426198284403721,0.1918626012245812,0.6927411323833034,0.6289435347058041,0.521906602061886,0.09475465447499483,1.34203778462256,1.0408187764901995,2.557288125521877,1.6861668802862972,2.7746145746146627,-0.09191104047009627,0.21213148868846962,2.063692663236041,0.44926377019905894,0.49496002541948975,-0.41683022946111264
Domantas Sabonis,PF,SAC,0.004336580315449876,1.2546334265192383,1.583460269120182,0.5832278998854487,1.9680940951746986,1.9738056976082368,2.1546564340759975,1.4399753279483178,1.4675122221002963,-0.4245080109355231,-0.4638188970764864,0.40801160766746375,2.271753214575263,2.5401929653657183,0.0759341024602603,3.893995885779565,4.157829524502453,4.258424006184757,3.521928953629346,2.8889858720059554,1.1117539653764275,0.6614350164912454,2.838388683544835,2.884505503787225,6.930159806843114,8.774508209665509,1.4248454515943336
Klay Thompson,SG,GSW,1.625350302230616,0.8436314942689019,0.957474412955701,0.5080725672264647,1.4138527999406352,1.971795041171783,1.9805446951656596,2.2911049527348286,-0.31448687925873553,4.009071490454098,3.5649019371313235,0.698694754263065,0.2956243212931099,0.18195778076114683,0.7548033518538463,-0.17387856390007578,0.6928008290543981,0.47333018289681,0.35790703743684754,1.0503911275201927,0.5456737579761773,0.28476198801057456,0.5764677469344394,1.3023102605936165,-0.23293581260557839,-0.14192829644558866,1.0954946911136152
Kristaps Porzingis,C,WAS,0.23590996916047358,0.6792307213687674,0.19238058875466887,1.0341598958393525,1.2204083890356434,1.9637524154259673,1.7615008946010406,1.6568236399958363,0.3027418597594762,1.316082459980402,1.2334662691869893,0.4974525758507257,2.545952917470873,2.370646644903952,0.6160563519777843,1.2652279631092311,2.0423383209657455,1.9058256618704146,0.44279543031030477,1.290954925864124,0.864093874638818,2.9591404902233376,1.5783924571108563,1.9190412200241516,1.8136629358083334,-0.14192829644558866,0.5376148315238267
Darius Garland,PG,CLE,-0.6903835862196214,0.8436314942689019,1.0965823809922524,0.3577619019084968,1.6180980593842367,1.9335925688791593,1.845748510202817,1.9577006729617683,-0.05564902096077548,1.8415437342191718,1.5816273289333431,0.6837879262325212,1.8179054304721847,1.638514806546323,0.6755193519246679,-0.38494752119477416,0.03626907623266149,-0.08313921470447484,3.2518295217592548,2.356308889958678,1.8193542246267402,-0.4685840689507671,0.8497199406189168,1.7441138933493088,1.5862630748734543,-0.14192829644558866,2.943891816260505
Franz Wagner,SF,ORL,-1.1535303639096688,1.295733619744272,0.6097044928643227,1.7105578897702083,1.8140909851129452,1.92353928669689,1.9580786643385193,1.9278840300552345,0.1733229306104965,1.2011378062406712,1.258334916311729,0.3185706394842023,1.7611744574593,1.6462214574764034,0.5714591020176222,0.42095213393043773,0.7803383960972964,0.7102428967270599,1.2839622324200177,1.806448779458263,1.5363141209266151,-0.16724564616623044,1.381043650560956,1.5389106832115127,-0.23293581260557839,-0.14192829644558866,0.33597150878052967
Devin Booker,SG,PHX,0.004336580315449876,0.18602840266836385,0.6792584768825984,-0.393791424681343,0.8756307407413642,1.8953900965865356,1.8738310487367427,1.7896432311249415,0.26292065079055943,0.8891451746614015,0.9847797979395936,0.2440364993314841,2.0921051333677942,1.9236608909592943,0.6358773519600791,-0.03956195471254048,0.30617657461493103,0.21988867507840307,1.3611334986686154,1.428419953489228,0.6164337839012086,-0.12957834331816334,1.0167073923149863,1.3617406985023772,0.10816397879674026,-0.14192829644558866,1.660095994794847
Jimmy Butler,SF,MIA,1.625350302230616,0.6381305281437337,0.748812460900874,0.3577619019084968,1.2428595910541023,1.8853368144042661,1.6042386788110576,1.3044451329186186,0.7109092516908748,-0.3424046868357153,-0.33947566145278857,0.2365830853162122,3.66166205339094,3.441871124185113,0.611101101982211,1.7833063128325817,0.5979684647579251,0.9636844045454669,1.7238384500370236,0.6723623015511572,2.951514639427241,-0.0165764347739621,-0.18256612441133097,1.8977359686983695,0.7903635616013776,-0.14192829644558866,0.31580717650619994
Anthony Davis,PF,LAL,0.9306301356955448,0.30932898234346473,0.47059652482777153,0.05714057127256092,0.9594890142265267,1.855176967857458,1.9580786643385193,1.5050298215625733,0.9498365055043761,-0.6215559887750618,-0.5197733531071504,-0.45658441810406675,2.489221944457988,2.5864328709462,0.2840546022743525,2.8194630122792823,2.5894481149838593,2.7653229492545774,0.24215013806395125,1.0332079990670546,0.8994738876013337,3.4864827300962764,0.8193585857650859,2.091725888664701,4.0876615451571245,-0.14192829644558866,1.3777953429542311
Nikola Vucevic,C,CHI,1.3937769133855922,1.3779340061943393,1.0965823809922524,1.3347812264752885,1.9812007428395288,1.8471343421116424,2.2669865882116995,2.0092021470730543,0.5217585090885196,1.053351822861017,1.1775118131563254,0.22912967130094028,0.44690691599413596,0.38233070494323457,0.5367723520486067,2.128691879314815,4.3183150640811,3.8727521464610946,1.1450539531725423,1.3253211827704,0.9348539005638493,1.3394464677564528,1.3203209408532943,2.3473889045740868,5.33836078029896,0.49496002541948975,-0.1345295776204968
